Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
1;veh0;4.59;42.08;8.83;103.28
2;veh0;11.93;40.35;7.53;103.28
3;veh0;19.60;38.53;7.89;103.28
4;ourVehicle0;84.63;104.89;15.00;101.99
4;ourVehicle1;60.53;37.87;15.00;190.30
4;veh0;27.50;36.36;8.20;106.75
5;ourVehicle0;98.19;101.30;14.03;105.55
5;ourVehicle1;68.24;27.38;14.72;112.40
5;ourVehicle4;141.69;2.64;15.00;225.34
5;veh0;35.29;34.00;8.14;106.84
6;ourVehicle0;111.62;97.19;14.04;106.99
6;ourVehicle1;82.41;22.61;14.95;109.10
6;ourVehicle10;71.73;108.50;15.00;36.36
6;ourVehicle13;84.06;107.51;0.00;221.37
6;ourVehicle2;77.76;100.61;15.00;14.24
6;ourVehicle4;128.79;7.94;13.94;292.34
6;ourVehicle5;55.72;29.00;15.00;98.38
6;ourVehicle8;60.53;37.87;0.00;190.30
6;ourVehicle9;67.53;30.95;15.00;287.24
6;veh0;43.62;31.48;8.70;106.84
7;ourVehicle0;125.13;93.07;14.13;106.99
7;ourVehicle1;95.92;17.63;14.39;110.86
7;ourVehicle10;59.74;112.97;14.60;279.64
7;ourVehicle11;67.53;30.95;0.00;287.24
7;ourVehicle12;74.65;101.40;15.00;206.55
7;ourVehicle13;84.06;107.51;0.00;221.37
7;ourVehicle14;55.04;32.33;15.00;274.19
7;ourVehicle17;37.98;116.67;15.00;279.64
7;ourVehicle2;90.12;103.48;14.91;104.45
7;ourVehicle4;116.03;13.18;13.80;292.34
7;ourVehicle5;61.09;30.99;6.00;66.15
7;ourVehicle8;60.53;37.87;0.00;190.30
7;veh0;51.16;29.67;7.77;101.65
8;ourVehicle0;138.45;88.27;14.17;111.55
8;ourVehicle1;110.27;12.08;15.39;111.73
8;ourVehicle10;46.13;115.29;13.81;279.64
8;ourVehicle11;67.53;30.95;0.00;287.24
8;ourVehicle12;71.07;87.26;14.58;194.21
8;ourVehicle13;84.09;105.48;2.43;179.08
8;ourVehicle14;40.82;35.68;14.65;286.84
8;ourVehicle15;70.41;107.91;5.36;99.64
8;ourVehicle19;85.42;107.99;0.00;284.46
8;ourVehicle2;106.34;98.81;16.89;106.99
8;ourVehicle22;175.52;71.81;15.00;135.00
8;ourVehicle4;102.61;18.51;14.44;290.84
8;ourVehicle5;63.96;38.91;8.51;13.95
8;ourVehicle8;60.53;37.87;0.00;190.30
8;veh0;55.29;29.06;4.18;98.38
9;ourVehicle0;151.84;82.99;14.39;111.55
9;ourVehicle1;124.11;6.40;14.96;112.33
9;ourVehicle10;39.07;113.23;14.58;141.63
9;ourVehicle11;67.53;30.95;0.00;287.24
9;ourVehicle12;67.43;72.88;14.84;194.21
